Timestamp,Event,Confidence
2026-06-25_10-18-03,FIRE,0.775
2026-06-25_10-18-08,FIRE,0.705
2026-06-25_10-18-12,FIRE,0.704
2026-06-25_10-18-16,FIRE,0.655
2026-06-25_10-18-21,FIRE,0.687
2026-06-25_10-18-25,FIRE,0.722
2026-06-25_10-18-28,FIRE,0.718
2026-06-25_10-18-32,FIRE,0.685
2026-06-25_10-18-35,FIRE,0.664
2026-06-25_10-18-42,FIRE,0.697
2026-06-25_10-18-48,FIRE,0.711
2026-06-25_10-18-52,FIRE,0.772
2026-06-25_10-18-57,FIRE,0.719
2026-06-25_10-19-09,FIRE,0.631
2026-06-25_10-19-22,FIRE,0.67
2026-06-25_10-19-26,FIRE,0.694
2026-06-25_10-19-33,FIRE,0.737
2026-06-25_10-19-44,FIRE,0.707
2026-06-25_10-19-48,FIRE,0.75
2026-06-25_10-20-01,FIRE,0.684
2026-06-25_10-20-05,FIRE,0.697
2026-06-25_10-20-09,FIRE,0.703
2026-06-25_10-20-13,FIRE,0.645
2026-06-25_10-20-16,FIRE,0.673
2026-06-25_10-20-21,FIRE,0.684
2026-06-25_10-20-25,FIRE,0.676
2026-06-25_10-20-49,FIRE,0.64
2026-06-25_10-20-53,FIRE,0.625
2026-06-25_10-21-05,FIRE,0.649
2026-06-25_10-21-10,FIRE,0.761
2026-06-25_10-21-15,FIRE,0.632
2026-06-25_10-21-19,FIRE,0.636
2026-06-25_10-21-23,FIRE,0.71
2026-06-25_10-21-37,FIRE,0.657
2026-06-25_10-22-05,FIRE,0.622
2026-06-25_10-22-10,FIRE,0.712
2026-06-25_10-22-14,FIRE,0.623
2026-06-25_10-22-23,FIRE,0.688
2026-06-25_10-22-26,FIRE,0.637
2026-06-25_10-22-36,FIRE,0.799
2026-06-25_10-22-40,FIRE,0.707
2026-06-25_10-23-01,FIRE,0.78
2026-06-25_10-23-16,FIRE,0.862
2026-06-25_10-23-19,FIRE,0.813
2026-06-25_10-23-22,FIRE,0.764
2026-06-25_10-23-27,FIRE,0.713
2026-06-25_10-23-40,FIRE,0.756
2026-06-25_10-23-43,FIRE,0.729
2026-06-25_10-23-46,FIRE,0.655
2026-06-25_10-23-49,FIRE,0.723
2026-06-25_10-23-52,FIRE,0.781
2026-06-25_10-23-55,FIRE,0.76
2026-06-25_10-23-59,FIRE,0.768
2026-06-25_10-24-02,FIRE,0.793
2026-06-25_10-24-05,FIRE,0.764
2026-06-25_10-24-08,FIRE,0.73
2026-06-25_10-24-12,FIRE,0.719
2026-06-25_10-24-15,FIRE,0.696
2026-06-25_10-24-18,FIRE,0.688
2026-06-25_10-24-22,FIRE,0.712
2026-06-25_10-24-25,FIRE,0.724
2026-06-25_10-24-39,FIRE,0.714
2026-06-25_10-24-51,FIRE,0.811
2026-06-25_10-24-54,FIRE,0.82
2026-06-25_10-24-58,FIRE,0.667
2026-06-25_10-25-08,FIRE,0.827
2026-06-25_10-25-11,FIRE,0.847
2026-06-25_10-25-15,FIRE,0.814
2026-06-25_10-25-19,FIRE,0.696
2026-06-25_10-25-25,FIRE,0.787
2026-06-25_10-25-29,FIRE,0.824
2026-06-25_10-25-32,FIRE,0.818
2026-06-25_10-25-36,FIRE,0.925
2026-06-25_10-25-39,FIRE,0.931
2026-06-25_10-25-42,FIRE,0.875
2026-06-25_10-25-45,FIRE,0.737
2026-06-25_10-25-50,FIRE,0.898
2026-06-25_10-25-53,FIRE,0.816
2026-06-25_10-25-57,FIRE,0.883
2026-06-25_10-26-00,FIRE,0.829
2026-06-25_10-26-04,FIRE,0.9
2026-06-25_10-26-07,FIRE,0.855
2026-06-25_10-26-11,FIRE,0.866
2026-06-25_10-26-16,FIRE,0.876
2026-06-25_10-26-20,FIRE,0.92
2026-06-25_10-26-24,FIRE,0.929
2026-06-25_10-26-28,FIRE,0.915
2026-06-25_10-26-32,FIRE,0.892
2026-06-25_10-26-38,FIRE,0.889
2026-06-25_10-26-42,FIRE,0.854
2026-06-25_10-26-45,FIRE,0.916
2026-06-25_10-26-49,FIRE,0.86
2026-06-25_10-27-00,FIRE,0.838
2026-06-25_10-27-06,FIRE,0.891
2026-06-25_10-27-10,FIRE,0.827
2026-06-25_10-27-14,FIRE,0.797
2026-06-25_10-27-19,FIRE,0.887
2026-06-25_10-27-52,FIRE,0.722
2026-06-25_10-28-01,FIRE,0.761
2026-06-25_10-28-05,FIRE,0.88
2026-06-25_10-28-11,FIRE,0.631
2026-06-25_10-28-23,FIRE,0.844
2026-06-25_10-28-32,FIRE,0.857
2026-06-25_10-28-39,FIRE,0.793
2026-06-25_10-28-51,FIRE,0.765
2026-06-25_10-29-01,FIRE,0.84
2026-06-25_10-29-09,FIRE,0.787
2026-06-25_10-29-14,FIRE,0.883
2026-06-25_10-29-23,FIRE,0.705
2026-06-25_10-29-28,FIRE,0.844
2026-06-25_10-29-34,FIRE,0.796
2026-06-25_10-29-39,FIRE,0.844
2026-06-25_10-29-50,FIRE,0.902
2026-06-25_10-29-59,FIRE,0.805
2026-06-25_10-30-04,FIRE,0.774
2026-06-25_10-30-11,FIRE,0.804
2026-06-25_10-30-17,FIRE,0.809
2026-06-25_10-30-24,FIRE,0.839
2026-06-25_10-30-35,FIRE,0.771
2026-06-25_10-30-45,FIRE,0.855
2026-06-25_10-30-51,FIRE,0.701
2026-06-25_10-30-55,FIRE,0.79
2026-06-25_10-31-05,FIRE,0.719
2026-06-25_10-31-08,FIRE,0.874
2026-06-25_10-31-12,FIRE,0.922
2026-06-25_10-31-16,FIRE,0.886
2026-06-25_10-31-20,FIRE,0.914
2026-06-25_10-31-29,FIRE,0.76
2026-06-25_10-31-32,FIRE,0.881
2026-06-25_10-31-36,FIRE,0.869
2026-06-25_10-31-41,FIRE,0.833
2026-06-25_10-31-45,FIRE,0.666
2026-06-25_10-31-50,FIRE,0.839
2026-06-25_10-31-54,FIRE,0.763
2026-06-25_10-32-00,FIRE,0.837
2026-06-25_10-32-06,FIRE,0.843
2026-06-25_10-32-12,FIRE,0.908
2026-06-25_10-32-16,FIRE,0.806
2026-06-25_10-32-20,FIRE,0.876
2026-06-25_10-32-24,FIRE,0.882
2026-06-25_10-32-31,FIRE,0.679
2026-06-25_10-32-35,FIRE,0.724
2026-06-25_10-32-39,FIRE,0.913
2026-06-25_10-32-45,FIRE,0.655
2026-06-25_10-32-54,FIRE,0.653
2026-06-25_10-33-03,FIRE,0.612
2026-06-25_10-33-07,FIRE,0.718
2026-06-25_10-33-11,FIRE,0.64
2026-06-25_10-33-15,FIRE,0.768
2026-06-25_10-33-18,FIRE,0.824
2026-06-25_10-33-22,FIRE,0.653
2026-06-25_10-33-27,FIRE,0.854
2026-06-25_10-33-30,FIRE,0.783
2026-06-25_10-33-34,FIRE,0.871
2026-06-25_10-33-37,FIRE,0.925
2026-06-25_10-33-41,FIRE,0.743
2026-06-25_10-33-44,FIRE,0.835
2026-06-25_10-33-47,FIRE,0.841
2026-06-25_10-33-50,FIRE,0.857
2026-06-25_10-33-55,FIRE,0.92
2026-06-25_10-33-59,FIRE,0.625
2026-06-25_10-34-05,FIRE,0.839
2026-06-25_10-34-10,FIRE,0.892
2026-06-25_10-34-14,FIRE,0.838
2026-06-25_10-34-17,FIRE,0.876
2026-06-25_10-34-20,FIRE,0.85
2026-06-25_10-34-24,FIRE,0.831
2026-06-25_10-34-27,FIRE,0.92
2026-06-25_10-34-31,FIRE,0.876
2026-06-25_10-34-34,FIRE,0.9
2026-06-25_10-34-39,FIRE,0.696
